已領未投-基隆市-中正區-砂灣里,0
未領票-基隆市-中正區-砂灣里,273
民進黨-基隆市-中正區-真砂里,332
國民黨-基隆市-中正區-真砂里,658
親民黨-基隆市-中正區-真砂里,28
無效票-基隆市-中正區-真砂里,5
已領未投-基隆市-中正區-真砂里,0
未領票-基隆市-中正區-真砂里,339
民進黨-基隆市-中正區-正砂里,283
國民黨-基隆市-中正區-正砂里,429
親民黨-基隆市-中正區-正砂里,25
無效票-基隆市-中正區-正砂里,3
已領未投-基隆市-中正區-正砂里,0
未領票-基隆市-中正區-正砂里,250
民進黨-基隆市-中正區-正砂里,243
國民黨-基隆市-中正區-正砂里,687
親民黨-基隆市-中正區-正砂里,41
無效票-基隆市-中正區-正砂里,6
已領未投-基隆市-中正區-正砂里,0
未領票-基隆市-中正區-正砂里,344
民進黨-基隆市-中正區-中砂里,297
國民黨-基隆市-中正區-中砂里,549
親民黨-基隆市-中正區-中砂里,33
無效票-基隆市-中正區-中砂里,5
已領未投-基隆市-中正區-中砂里,0
未領票-基隆市-中正區-中砂里,278
民進黨-基隆市-中正區-入船里,255
國民黨-基隆市-中正區-入船里,410
親民黨-基隆市-中正區-入船里,23
無效票-基隆市-中正區-入船里,5
已領未投-基隆市-中正區-入船里,0
未領票-基隆市-中正區-入船里,277
民進黨-基隆市-中正區-正船里,307
國民黨-基隆市-中正區-正船里,586
親民黨-基隆市-中正區-正船里,37
無效票-基隆市-中正區-正船里,1
已領未投-基隆市-中正區-正船里,0
未領票-基隆市-中正區-正船里,402
民進黨-基隆市-中正區-中船里,271
國民黨-基隆市-中正區-中船里,561
親民黨-基隆市-中正區-中船里,39
無效票-基隆市-中正區-中船里,1
已領未投-基隆市-中正區-中船里,0
未領票-基隆市-中正區-中船里,353
民進黨-基隆市-中正區-港通里,373
國民黨-基隆市-中正區-港通里,500
親民黨-基隆市-中正區-港通里,34
無效票-基隆市-中正區-港通里,10
已領未投-基隆市-中正區-港通里,0
未領票-基隆市-中正區-港通里,299
民進黨-基隆市-中正區-義重里,285
國民黨-基隆市-中正區-義重里,452
親民黨-基隆市-中正區-義重里,27
無效票-基隆市-中正區-義重里,9
已領未投-基隆市-中正區-義重里,0
未領票-基隆市-中正區-義重里,327
民進黨-基隆市-中正區-正義里,374
國民黨-基隆市-中正區-正義里,566
親民黨-基隆市-中正區-正義里,25
無效票-基隆市-中正區-正義里,8
已領未投-基隆市-中正區-正義里,1
未領票-基隆市-中正區-正義里,349
民進黨-基隆市-中正區-信義里,279
國民黨-基隆市-中正區-信義里,375
親民黨-基隆市-中正區-信義里,32
無效票-基隆市-中正區-信義里,4
已領未投-基隆市-中正區-信義里,0
未領票-基隆市-中正區-信義里,271
民進黨-基隆市-中正區-德義里,232
國民黨-基隆市-中正區-德義里,317
親民黨-基隆市-中正區-德義里,26
無效票-基隆市-中正區-德義里,4
已領未投-基隆市-中正區-德義里,0
未領票-基隆市-中正區-德義里,187
民進黨-基隆市-信義區-仁壽里,289
國民黨-基隆市-信義區-仁壽里,503
親民黨-基隆市-信義區-仁壽里,23
無效票-基隆市-信義區-仁壽里,6
已領未投-基隆市-信義區-仁壽里,0
未領票-基隆市-信義區-仁壽里,269
民進黨-基隆市-信義區-仁義里,307
國民黨-基隆市-信義區-仁義里,675
親民黨-基隆市-信義區-仁義里,27
無效票-基隆市-信義區-仁義里,6
已領未投-基隆市-信義區-仁義里,0
未領票-基隆市-信義區-仁義里,274
民進黨-基隆市-信義區-義昭里,180
國民黨-基隆市-信義區-義昭里,474
親民黨-基隆市-信義區-義昭里,18
無效票-基隆市-信義區-義昭里,4
已領未投-基隆市-信義區-義昭里,0
未領票-基隆市-信義區-義昭里,233
民進黨-基隆市-信義區-義幸里,284
國民黨-基隆市-信義區-義幸里,572
親民黨-基隆市-信義區-義幸里,29
無效票-基隆市-信義區-義幸里,9
已領未投-基隆市-信義區-義幸里,0
未領票-基隆市-信義區-義幸里,264
民進黨-基隆市-信義區-義幸里,258
國民黨-基隆市-信義區-義幸里,592
親民黨-基隆市-信義區-義幸里,34
無效票-基隆市-信義區-義幸里,2
已領未投-基隆市-信義區-義幸里,0
未領票-基隆市-信義區-義幸里,258
民進黨-基隆市-信義區-義民里,231
國民黨-基隆市-信義區-義民里,359
親民黨-基隆市-信義區-義民里,20
無效票-基隆市-信義區-義民里,5
已領未投-基隆市-信義區-義民里,0
未領票-基隆市-信義區-義民里,184
民進黨-基隆市-信義區-義和里,280
國民黨-基隆市-信義區-義和里,611
親民黨-基隆市-信義區-義和里,38
無效票-基隆市-信義區-義和里,4
已領未投-基隆市-信義區-義和里,0
未領票-基隆市-信義區-義和里,499
民進黨-基隆市-信義區-智慧里,180
國民黨-基隆市-信義區-智慧里,289
親民黨-基隆市-信義區-智慧里,21
無效票-基隆市-信義區-智慧里,3
已領未投-基隆市-信義區-智慧里,0
未領票-基隆市-信義區-智慧里,148
民進黨-基隆市-信義區-智誠里,193
國民黨-基隆市-信義區-智誠里,229
親民黨-基隆市-信義區-智誠里,15
無效票-基隆市-信義區-智誠里,3
已領未投-基隆市-信義區-智誠里,0
未領票-基隆市-信義區-智誠里,203
民進黨-基隆市-信義區-智誠里,257
國民黨-基隆市-信義區-智誠里,359
親民黨-基隆市-信義區-智誠里,26
無效票-基隆市-信義區-智誠里,7
已領未投-基隆市-信義區-智誠里,0
未領票-基隆市-信義區-智誠里,300
民進黨-基隆市-信義區-禮儀里,357
國民黨-基隆市-信義區-禮儀里,743
親民黨-基隆市-信義區-禮儀里,56
無效票-基隆市-信義區-禮儀里,7
已領未投-基隆市-信義區-禮儀里,0
未領票-基隆市-信義區-禮儀里,393
民進黨-基隆市-信義區-禮東里,341
國民黨-基隆市-信義區-禮東里,817
親民黨-基隆市-信義區-禮東里,45
無效票-基隆市-信義區-禮東里,10
已領未投-基隆市-信義區-禮東里,0
未領票-基隆市-信義區-禮東里,343
民進黨-基隆市-信義區-信綠里,249
國民黨-基隆市-信義區-信綠里,518
親民黨-基隆市-信義區-信綠里,21
無效票-基隆市-信義區-信綠里,9
已領未投-基隆市-信義區-信綠里,0
未領票-基隆市-信義區-信綠里,292
民進黨-基隆市-信義區-信綠里,269
國民黨-基隆市-信義區-信綠里,501
親民黨-基隆市-信義區-信綠里,30
無效票-基隆市-信義區-信綠里,8
已領未投-基隆市-信義區-信綠里,0
未領票-基隆市-信義區-信綠里,325
民進黨-基隆市-信義區-東信里,244
國民黨-基隆市-信義區-東信里,415
親民黨-基隆市-信義區-東信里,22
無效票-基隆市-信義區-東信里,2
已領未投-基隆市-信義區-東信里,0
未領票-基隆市-信義區-東信里,249
民進黨-基隆市-信義區-東信里,287
國民黨-基隆市-信義區-東信里,813
親民黨-基隆市-信義區-東信里,32
無效票-基隆市-信義區-東信里,6
已領未投-基隆市-信義區-東信里,0
未領票-基隆市-信義區-東信里,379
民進黨-基隆市-信義區-東信里,263
國民黨-基隆市-信義區-東信里,521
親民黨-基隆市-信義區-東信里,39
無效票-基隆市-信義區-東信里,4
已領未投-基隆市-信義區-東信里,0
未領票-基隆市-信義區-東信里,303
民進黨-基隆市-信義區-東光里,230
國民黨-基隆市-信義區-東光里,513
親民黨-基隆市-信義區-東光里,32
無效票-基隆市-信義區-東光里,8
已領未投-基隆市-信義區-東光里,0
未領票-基隆市-信義區-東光里,307
民進黨-基隆市-信義區-東光里,213
國民黨-基隆市-信義區-東光里,312
親民黨-基隆市-信義區-東光里,20
無效票-基隆市-信義區-東光里,1
已領未投-基隆市-信義區-東光里,0
未領票-基隆市-信義區-東光里,216
民進黨-基隆市-信義區-東明里,325
國民黨-基隆市-信義區-東明里,622
親民黨-基隆市-信義區-東明里,43
無效票-基隆市-信義區-東明里,4
已領未投-基隆市-信義區-東明里,0
未領票-基隆市-信義區-東明里,402
民進黨-基隆市-信義區-東明里,389
國民黨-基隆市-信義區-東明里,978
親民黨-基隆市-信義區-東明里,61
無效票-基隆市-信義區-東明里,9
已領未投-基隆市-信義區-東明里,0
未領票-基隆市-信義區-東明里,494
民進黨-基隆市-信義區-東安里,288
國民黨-基隆市-信義區-東安里,629
親民黨-基隆市-信義區-東安里,34
無效票-基隆市-信義區-東安里,5
已領未投-基隆市-信義區-東安里,0
未領票-基隆市-信義區-東安里,364
民進黨-基隆市-信義區-東安里,364
國民黨-基隆市-信義區-東安里,668
親民黨-基隆市-信義區-東安里,45
無效票-基隆市-信義區-東安里,4
已領未投-基隆市-信義區-東安里,0
未領票-基隆市-信義區-東安里,370
